OrderID,Date,Product,Region,Sales,Profit
2001,08/09/2023,Smartphone,West,1932,510
2002,07/17/2023,Keyboard,South,1663,221
2003,04/13/2023,Tablet,Central,1968,580
2004,06/24/2023,Tablet,North,1021,259
2005,04/09/2023,Smartphone,North,1553,569
2006,08/09/2023,Smartphone,Central,915,319
2007,07/21/2023,Smartphone,North,673,72
2008,03/24/2023,Mouse,East,1598,515
2009,06/17/2023,Printer,East,248,47
2010,01/05/2023,Tablet,East,274,86
2011,01/21/2023,Laptop,Central,56,9
2012,07/30/2023,Keyboard,Central,1263,223
2013,11/11/2023,Laptop,North,1471,297
2014,04/11/2023,Monitor,West,206,76
2015,07/18/2023,Monitor,Central,744,121
2016,02/05/2023,Keyboard,South,1301,226
2017,09/22/2023,Smartphone,South,624,93
2018,08/31/2023,Keyboard,East,875,274
2019,06/26/2023,Laptop,South,110,27
2020,02/21/2023,Keyboard,West,1901,502
2021,09/05/2023,Laptop,South,1243,306
2022,09/01/2023,Monitor,North,627,71
2023,07/06/2023,Monitor,West,904,170
2024,09/28/2023,Tablet,East,719,248
2025,01/24/2023,Monitor,East,811,153
2026,12/22/2023,Monitor,West,1465,457
2027,01/28/2023,Mouse,East,463,63
2028,12/01/2023,Smartphone,South,694,222
2029,11/30/2023,Tablet,North,1924,339
2030,07/24/2023,Smartphone,West,1610,161
2031,03/23/2023,Monitor,Central,1047,290
2032,11/30/2023,Keyboard,West,1998,396
2033,02/19/2023,Keyboard,South,1730,481
2034,09/27/2023,Smartphone,North,1296,229
2035,01/24/2023,Laptop,South,1442,395
2036,07/08/2023,Printer,North,1696,458
2037,09/04/2023,Smartphone,North,1385,254
2038,09/30/2023,Tablet,Central,264,35
2039,10/17/2023,Tablet,West,1063,151
2040,03/24/2023,Smartphone,West,546,58
2041,05/17/2023,Monitor,East,1374,271
2042,08/24/2023,Smartphone,West,798,172
2043,12/14/2023,Laptop,North,1174,353
2044,04/15/2023,Keyboard,South,1762,368
2045,11/19/2023,Keyboard,Central,571,107
2046,09/30/2023,Laptop,West,217,85
2047,11/01/2023,Smartphone,Central,278,102
2048,12/26/2023,Keyboard,Central,1115,237
2049,10/23/2023,Monitor,North,677,192
2050,12/09/2023,Mouse,South,1762,197
2051,05/15/2023,Keyboard,Central,1649,443
2052,12/25/2023,Monitor,North,1671,328
2053,01/08/2023,Monitor,West,746,217
2054,01/11/2023,Smartphone,South,1368,154
2055,06/21/2023,Keyboard,North,958,294
2056,01/24/2023,Mouse,North,1093,207
2057,01/24/2023,Printer,North,1306,431
2058,03/14/2023,Monitor,South,555,221
2059,12/15/2023,Printer,West,727,80
2060,06/12/2023,Laptop,South,1999,393
2061,08/08/2023,Mouse,Central,1473,455
2062,03/25/2023,Keyboard,South,1714,243
2063,08/27/2023,Smartphone,North,1247,139
2064,01/24/2023,Keyboard,East,180,60
2065,09/25/2023,Printer,Central,414,62
2066,09/16/2023,Printer,West,778,216
2067,08/21/2023,Keyboard,South,1909,528
2068,01/21/2023,Tablet,East,116,37
2069,04/21/2023,Smartphone,South,974,360
2070,08/04/2023,Laptop,East,256,28
2071,09/04/2023,Keyboard,North,1971,233
2072,08/29/2023,Printer,North,187,50
2073,05/20/2023,Tablet,South,480,111
2074,02/25/2023,Keyboard,North,419,93
2075,12/16/2023,Printer,East,1904,192
2076,07/14/2023,Laptop,East,342,104
2077,04/23/2023,Mouse,West,1334,338
2078,11/15/2023,Tablet,North,526,109
2079,11/20/2023,Printer,South,1049,131
2080,04/06/2023,Tablet,South,507,187
2081,02/09/2023,Keyboard,South,911,128
2082,04/22/2023,Mouse,South,316,122
2083,01/01/2023,Laptop,East,654,216
2084,09/02/2023,Laptop,Central,353,141
2085,05/22/2023,Laptop,West,1331,384
2086,09/22/2023,Smartphone,East,205,78
2087,06/07/2023,Monitor,East,706,100
2088,06/06/2023,Smartphone,East,1069,231
2089,12/24/2023,Mouse,North,1686,542
2090,02/26/2023,Keyboard,East,1017,339
2091,09/04/2023,Mouse,Central,996,330
2092,05/30/2023,Tablet,North,288,62
2093,05/23/2023,Laptop,South,517,55
2094,09/02/2023,Smartphone,East,521,193
2095,02/27/2023,Smartphone,West,478,187
2096,11/28/2023,Laptop,North,472,152
2097,05/03/2023,Monitor,West,1280,242
2098,01/01/2023,Printer,East,1484,419
2099,03/06/2023,Laptop,Central,1177,454
2100,10/29/2023,Mouse,East,466,154
2101,08/23/2023,Laptop,Central,359,87
2102,06/23/2023,Smartphone,Central,1274,238
2103,05/15/2023,Tablet,South,839,261
2104,01/14/2023,Mouse,West,1989,314
2105,03/18/2023,Keyboard,North,1571,442
